Joints,X,Y,Z
Degree,13.20995,13.20995,13.20995
SpineBase,-0.2160315,-0.2349287,-2.234551
SpineMid,-0.2317867,0.105668,-2.290488
Neck,-0.2472316,0.4346669,-2.332715
Head,-0.308926,0.5553608,-2.351343
ShoulderLeft,-0.1054654,0.3157864,-2.216763
ElbowLeft,0.04874977,0.1101671,-2.165511
WristLeft,0.06963629,-0.08101565,-2.026063
HandLeft,0.0607981,-0.1423442,-1.981368
ShoulderRight,-0.4300237,0.2632202,-2.329883
ElbowRight,-0.4820639,0.035565,-2.365454
WristRight,-0.5480415,-0.1238464,-2.256165
HandRight,-0.5652367,-0.1997977,-2.198393
HipLeft,-0.1343853,-0.2193862,-2.181239
KneeLeft,-0.04825817,-0.6278244,-2.095861
AnkleLeft,0.0005286101,-0.9636186,-2.010951
FootLeft,-0.0535148,-1.019262,-1.93576
HipRight,-0.290176,-0.242067,-2.209627
KneeRight,-0.3085938,-0.6436656,-2.123939
AnkleRight,-0.3489086,-0.9821051,-2.029546
FootRight,-0.327027,-1.021275,-1.919845
SpineShoulder,-0.2435499,0.3539349,-2.324527
HandTipLeft,0.03919621,-0.1921303,-1.918344
ThumbLeft,0.03113586,-0.09887492,-1.9449
HandTipRight,-0.5662704,-0.2541249,-2.159226
ThumbRight,-0.5324926,-0.2121084,-2.17025
