X,Y,Z
-0.2160315,0.281927,-2.22911
-0.2317867,0.626294,-2.20573
-0.2472316,0.956237,-2.17166
-0.308926,1.07799,-2.16221
-0.1054654,0.814005,-2.08594
0.04874977,0.602114,-2.08303
0.06963629,0.384123,-1.99097
0.0607981,0.314204,-1.96147
-0.4300237,0.788679,-2.20808
-0.4820639,0.575177,-2.29474
-0.5480415,0.395009,-2.22477
-0.5652367,0.307865,-2.18588
-0.1343853,0.284875,-2.17366
-0.04825817,-0.132266,-2.18387
0.0005286101,-0.478579,-2.17795
-0.0535148,-0.549932,-2.11746
-0.290176,0.269282,-2.20648
-0.3085938,-0.141272,-2.21483
-0.3489086,-0.492327,-2.20027
-0.327027,-0.555529,-2.10243
-0.2435499,0.87577,-2.18214
0.03919621,0.251333,-1.91149
0.03113586,0.348189,-1.91603
-0.5662704,0.246025,-2.16016
-0.5324926,0.289449,-2.16129
-0.151402,-0.578644,-1.68863
-0.152344,-0.578999,-1.68712
-0.152344,-0.580538,-1.68908
-0.144531,-0.590963,-1.69152
-0.152344,-0.589819,-1.69126
-0.144531,-0.591352,-1.68359
-0.152344,-0.588126,-1.68283
-0.230469,-0.603383,-1.69444
-0.230469,-0.601913,-1.69207
-0.232443,-0.601461,-1.69399
-0.363281,-0.62506,-1.69602
-0.367154,-0.626064,-1.69174
-0.363281,-0.623483,-1.69113
-0.35818,-0.626064,-1.69174
-0.339844,-0.625596,-1.69373
-0.342928,-0.626064,-1.69174
-0.339844,-0.624526,-1.69138
-0.332031,-0.62245,-1.69089
-0.332031,-0.625454,-1.69434
-0.324219,-0.622361,-1.69889
-0.327276,-0.624279,-1.69934
-0.324219,-0.623568,-1.69115
-0.31676,-0.624279,-1.69934
-0.316406,-0.625639,-1.69164
-0.316406,-0.624769,-1.69726
-0.308594,-0.624358,-1.69901
-0.308594,-0.624066,-1.69929
-0.313388,-0.624279,-1.69934
-0.315842,-0.626064,-1.69174
-0.308283,-0.624279,-1.69934
-0.300781,-0.625865,-1.69259
-0.301753,-0.626064,-1.69174
-0.300781,-0.625571,-1.69162
-0.299825,-0.626064,-1.69174
-0.0976563,-0.547664,-1.68386
-0.0898438,-0.548188,-1.68148
-0.0898438,-0.548213,-1.68153
-0.0976563,-0.545848,-1.68093
-0.121094,-0.555642,-1.68406
-0.113281,-0.553594,-1.68275
-0.113281,-0.555303,-1.68551
-0.121094,-0.554528,-1.68297
-0.230469,-0.570935,-1.68729
-0.236494,-0.571038,-1.68685
-0.230469,-0.570597,-1.68674
-0.152344,-0.579511,-1.69686
-0.150506,-0.576859,-1.69624
-0.136719,-0.590163,-1.69936
